comment_id,ticket_id,agent_id,created_at,visibility,team,body
1,1,8,2024-01-01 07:51:48.512407,public,business-apps,Issue now limited to users on macOS Sonoma.
2,1,8,2024-01-01 15:37:09.392051,public,business-apps,Issue now limited to users on macOS Sonoma.
3,1,8,2024-01-02 01:44:23.067300,internal,business-apps,Confirmed issue reproducible on spare device.
4,1,8,2024-01-02 19:26:32.801904,public,business-apps,MFA re-registration completed successfully.
5,2,5,2024-01-01 14:31:12.901622,public,tier-2,Monitor issue persisted after cable swap.
6,2,5,2024-01-01 23:16:19.335913,public,tier-2,Security review requested before granting exception.
7,2,5,2024-01-02 03:35:32.078989,internal,tier-2,Queue backlog high due to concurrent outage tickets.
8,3,2,2024-01-01 12:07:50.906620,public,tier-1,User verified access restored after role sync.
9,4,10,2024-01-02 00:34:57.089486,internal,collaboration,Security review requested before granting exception.
10,5,2,2024-01-01 20:14:38.385794,public,tier-1,Customer contacted and asked to retry after cache clear.
11,5,2,2024-01-01 22:52:21.031132,public,tier-1,Confirmed issue reproducible on spare device.
12,6,1,2024-01-01 16:29:02.138614,public,tier-1,Closing after three business days without reply.
13,7,4,2024-01-02 05:45:18.056710,internal,tier-2,Reopened because problem recurred after overnight reboot.
14,8,2,2024-01-01 17:40:46.088977,internal,tier-1,Device shipped to depot for motherboard replacement.
15,9,6,2024-01-02 00:12:43.369825,public,identity,Applied GPO update and forced policy refresh.
16,10,5,2024-01-01 22:37:37.906137,public,tier-2,Closing after three business days without reply.
17,11,10,2024-01-02 10:07:54.987425,public,collaboration,Confirmed issue reproducible on spare device.
18,11,10,2024-01-02 12:48:01.130963,public,collaboration,Found stale token in local credential manager.
19,12,2,2024-01-02 07:43:57.672038,public,tier-1,Temporary workaround provided pending vendor response.
20,13,3,2024-01-02 10:55:49.554769,internal,tier-1,Found stale token in local credential manager.
21,13,3,2024-01-03 02:16:38.079998,public,tier-1,Reset print spooler and reinstalled queue.
22,13,3,2024-01-03 05:22:35.427613,internal,tier-1,Vendor status page confirms partial service disruption.
23,14,7,2024-01-02 22:17:50.259390,public,network,Phone call completed with warehouse supervisor.
24,15,7,2024-01-03 00:03:38.720476,public,network,User verified access restored after role sync.
25,16,4,2024-01-03 07:40:41.343468,public,tier-2,User verified access restored after role sync.
26,16,4,2024-01-04 00:32:15.878414,public,tier-2,Confirmed issue reproducible on spare device.
27,16,4,2024-01-04 05:53:03.184930,public,tier-2,Awaiting screenshot and exact error timestamp from requester.
28,17,10,2024-01-03 00:10:37.590240,public,collaboration,Assigned specialist for ERP module permissions.
29,18,9,2024-01-03 05:20:06.946061,public,security,Temporary workaround provided pending vendor response.
30,18,9,2024-01-03 20:58:09.470791,public,security,Closing after three business days without reply.
31,18,9,2024-01-04 01:54:08.705300,public,security,Assigned specialist for ERP module permissions.
32,18,9,2024-01-04 15:43:44.188465,public,security,Closing after three business days without reply.
33,18,9,2024-01-05 07:08:30.516401,public,security,Applied GPO update and forced policy refresh.
34,19,7,2024-01-03 14:23:41.477414,public,network,Issue now limited to users on macOS Sonoma.
35,20,8,2024-01-03 07:04:53.068644,public,business-apps,Customer contacted and asked to retry after cache clear.
36,21,6,2024-01-03 07:14:52.729035,internal,identity,Closing after three business days without reply.
37,21,6,2024-01-03 14:30:30.746865,internal,identity,Device shipped to depot for motherboard replacement.
38,22,5,2024-01-03 13:16:04.148724,internal,tier-2,Vendor status page confirms partial service disruption.
39,22,5,2024-01-04 01:10:03.436390,internal,tier-2,Phone call completed with warehouse supervisor.
40,22,5,2024-01-04 03:35:01.581752,public,tier-2,Reset print spooler and reinstalled queue.
41,23,6,2024-01-03 14:56:01.904321,public,identity,Found stale token in local credential manager.
42,23,6,2024-01-04 06:31:16.624405,public,identity,Escalated to Tier 2 because issue impacts executive workflow.
43,23,6,2024-01-04 11:41:22.627939,internal,identity,Reset print spooler and reinstalled queue.
44,24,9,2024-01-03 18:52:55.202138,public,security,Service restored; monitoring for repeat failures.
45,25,1,2024-01-03 15:22:26.780810,public,tier-1,Security review requested before granting exception.
46,26,2,2024-01-03 13:28:28.883684,public,tier-1,Queue backlog high due to concurrent outage tickets.
47,27,5,2024-01-03 14:49:57.178479,public,tier-2,Confirmed issue reproducible on spare device.
48,27,5,2024-01-03 23:29:11.116219,public,tier-2,Monitor issue persisted after cable swap.
49,27,5,2024-01-04 06:23:35.188813,internal,tier-2,Closing after three business days without reply.
50,27,5,2024-01-04 13:09:32.375018,internal,tier-2,Queue backlog high due to concurrent outage tickets.
51,28,6,2024-01-04 01:09:03.485835,internal,identity,Security review requested before granting exception.
52,28,6,2024-01-04 13:59:18.227867,public,identity,Assigned specialist for ERP module permissions.
53,28,6,2024-01-04 19:04:04.511533,public,identity,MFA re-registration completed successfully.
54,29,2,2024-01-03 21:53:48.622822,public,tier-1,MFA re-registration completed successfully.
55,29,2,2024-01-04 09:57:02.001463,public,tier-1,Vendor status page confirms partial service disruption.
56,30,7,2024-01-04 05:04:36.769481,public,network,User reports workaround acceptable until maintenance window.
57,31,1,2024-01-04 01:47:51.972952,public,tier-1,Found stale token in local credential manager.
58,31,1,2024-01-04 16:14:14.003098,public,tier-1,Assigned specialist for ERP module permissions.
59,32,3,2024-01-04 10:02:46.040299,public,tier-1,Customer contacted and asked to retry after cache clear.
60,32,3,2024-01-04 21:27:46.643287,public,tier-1,User reports workaround acceptable until maintenance window.
61,33,5,2024-01-04 04:11:27.648619,internal,tier-2,Network team reviewing firewall and VPN telemetry.
62,34,1,2024-01-04 09:08:59.828207,public,tier-1,Network team reviewing firewall and VPN telemetry.
63,34,1,2024-01-04 14:38:42.457683,public,tier-1,Phone call completed with warehouse supervisor.
64,34,1,2024-01-04 15:06:44.654075,internal,tier-1,Security review requested before granting exception.
65,35,7,2024-01-04 05:03:26.125018,public,network,Temporary workaround provided pending vendor response.
66,35,7,2024-01-04 13:19:55.105139,public,network,Linked to active parent incident to reduce duplicate handling.
67,35,7,2024-01-05 00:42:25.264389,internal,network,Network team reviewing firewall and VPN telemetry.
68,35,7,2024-01-05 03:29:08.290960,public,network,Reset print spooler and reinstalled queue.
69,35,7,2024-01-05 05:05:41.677590,internal,network,Reset print spooler and reinstalled queue.
70,36,6,2024-01-04 00:55:15.403942,public,identity,Issue now limited to users on macOS Sonoma.
71,36,6,2024-01-04 06:14:42.541706,public,identity,User reports workaround acceptable until maintenance window.
72,36,6,2024-01-04 09:32:19.896805,public,identity,Linked to active parent incident to reduce duplicate handling.
73,37,6,2024-01-04 02:09:34.961740,internal,identity,Vendor status page confirms partial service disruption.
74,38,6,2024-01-04 16:13:23.215168,public,identity,Assigned specialist for ERP module permissions.
75,39,7,2024-01-04 18:44:19.129473,internal,network,Temporary workaround provided pending vendor response.
76,39,7,2024-01-04 20:53:46.819304,public,network,User verified access restored after role sync.
77,40,7,2024-01-04 13:06:43.874143,public,network,Vendor status page confirms partial service disruption.
78,40,7,2024-01-05 03:55:18.978690,internal,network,Confirmed issue reproducible on spare device.
79,40,7,2024-01-05 09:30:33.064556,public,network,Reset print spooler and reinstalled queue.
80,41,7,2024-01-04 23:20:15.722162,public,network,Queue backlog high due to concurrent outage tickets.
81,41,7,2024-01-05 12:45:14.304119,public,network,User reports workaround acceptable until maintenance window.
82,41,7,2024-01-05 23:21:33.263810,internal,network,Found stale token in local credential manager.
83,42,3,2024-01-04 22:57:14.364871,public,tier-1,MFA re-registration completed successfully.
84,42,3,2024-01-05 09:05:29.698152,public,tier-1,Vendor status page confirms partial service disruption.
85,42,3,2024-01-06 02:26:30.637448,public,tier-1,Confirmed issue reproducible on spare device.
86,43,7,2024-01-04 11:58:29.173042,public,network,Confirmed issue reproducible on spare device.
