ticket_id,created_at,first_response_at,resolved_at,priority,status,channel,category_id,assigned_agent_id,requester_department,affected_service,summary,description,escalated,outage_related
1,2024-01-01 00:25:58,2024-01-01 02:44:28.165882055,2024-01-01 07:11:36.270497762,P2,resolved,email,5,8,Finance,business-apps,New Zebra printer not visible to shipping station.,New Zebra printer not visible to shipping station. Reported by Danielle from HR.,False,False
2,2024-01-01 03:18:47,2024-01-01 10:41:36.758167460,2024-01-01 16:06:15.515350209,P3,resolved,email,8,5,Warehouse,voice,Sales laptop webcam missing from device manager.,Sales laptop webcam missing from device manager. Reported by Angel from Warehouse.,False,False
3,2024-01-01 05:00:04,2024-01-01 07:14:00.495197408,2024-01-03 05:17:17.430912834,P4,resolved,chat,4,2,IT,saas,Outlook keeps prompting for password on Mac.,Outlook keeps prompting for password on Mac. Reported by Joshua from Warehouse.,False,False
4,2024-01-01 06:54:27,2024-01-01 13:53:34.348455884,2024-01-02 01:21:58.211483652,P3,resolved,portal,7,10,IT,security,VPN disconnects every 15 minutes on hotel Wi-Fi.,VPN disconnects every 15 minutes on hotel Wi-Fi. Reported by Jeffrey from Sales.,False,False
5,2024-01-01 07:51:13,2024-01-01 09:57:48.722425448,2024-01-02 00:47:37.929284761,P3,resolved,chat,3,2,Finance,network,Spam burst hit shared support inbox this morning.,Spam burst hit shared support inbox this morning. Reported by Jill from Operations.,False,False
6,2024-01-01 09:53:23,2024-01-01 15:30:28.691541414,2024-01-02 00:02:49.871996319,P3,resolved,phone,4,1,Sales,saas,Intune enrollment stuck on compliance evaluation.,Intune enrollment stuck on compliance evaluation. Reported by Erica from Warehouse.,False,False
7,2024-01-01 12:24:14,2024-01-02 05:11:42.219174738,2024-01-02 23:56:53.912190299,P4,resolved,email,3,4,Operations,network,Customer portal SSO redirects to blank page.,Customer portal SSO redirects to blank page. Reported by Patricia from HR.,False,False
8,2024-01-01 14:32:50,2024-01-01 18:51:24.932450265,2024-01-01 21:25:25.125021102,P3,closed,chat,5,2,Operations,business-apps,Voicemail transcription unavailable in mobile app.,Voicemail transcription unavailable in mobile app. Reported by Christopher from Warehouse.,False,False
9,2024-01-01 16:12:59,2024-01-01 18:17:43.197485092,2024-01-02 10:12:39.244612542,P3,resolved,email,2,6,Warehouse,endpoint,Teams meeting room camera flickers after restart.,Teams meeting room camera flickers after restart. Reported by Robert from Operations.,False,False
10,2024-01-01 21:41:58,2024-01-01 23:34:38.051956313,2024-01-02 03:57:57.191019672,P2,closed,email,5,5,Sales,business-apps,BitLocker recovery key prompt appears at boot.,BitLocker recovery key prompt appears at boot. Reported by Anthony from Operations.,False,False
11,2024-01-01 22:23:42,2024-01-02 01:15:14.848042377,,P3,pending,email,7,10,Finance,security,Docking station no longer drives dual monitors.,Docking station no longer drives dual monitors. Reported by Jeffery from HR.,False,False
12,2024-01-02 05:52:07,2024-01-02 14:25:56.585466159,2024-01-04 04:25:48.746438990,P4,resolved,email,2,2,Finance,endpoint,Scanner cradle not charging overnight.,Scanner cradle not charging overnight. Reported by William from Finance.,False,False
13,2024-01-02 06:44:01,2024-01-03 00:54:52.840105412,,P4,pending,portal,7,3,Sales,security,Scanner firmware update broke keyboard wedge mode.,Scanner firmware update broke keyboard wedge mode. Reported by Anthony from Operations.,False,False
14,2024-01-02 11:55:44,2024-01-02 18:28:30.473636735,2024-01-03 05:36:53.381551996,P3,resolved,chat,7,7,HR,security,MFA push not arriving on replacement phone.,MFA push not arriving on replacement phone. Reported by James from Finance.,False,False
15,2024-01-02 15:17:15,2024-01-03 05:35:43.949111409,,P4,pending,portal,1,7,HR,identity,Voicemail transcription unavailable in mobile app.,Voicemail transcription unavailable in mobile app. Reported by Debra from Warehouse.,False,False
16,2024-01-02 17:03:08,2024-01-02 19:52:43.740286428,2024-01-03 11:59:32.958978494,P3,resolved,portal,6,4,Operations,peripherals,New Zebra printer not visible to shipping station.,New Zebra printer not visible to shipping station. Reported by Amy from Operations.,False,False
17,2024-01-02 18:07:18,2024-01-03 00:29:58.903775878,2024-01-04 02:48:47.841199360,P4,closed,chat,4,10,IT,saas,Printer on dock 4 is stuck in offline state.,Printer on dock 4 is stuck in offline state. Reported by Jeffrey from Warehouse.,False,False
18,2024-01-02 18:24:10,2024-01-02 19:33:14.991129182,2024-01-02 23:00:17.203158452,P2,resolved,chat,6,9,IT,peripherals,Spam burst hit shared support inbox this morning.,Spam burst hit shared support inbox this morning. Reported by Bridget from Finance.,False,False
19,2024-01-02 20:54:29,2024-01-02 23:22:56.617566134,2024-01-03 04:20:45.015999776,P3,resolved,phone,3,7,Finance,network,Teams channels inaccessible during tenant incident.,Teams channels inaccessible during tenant incident. Reported by Lisa from Warehouse.,False,False
20,2024-01-02 21:33:28,2024-01-03 03:40:39.097529608,,P4,in_progress,chat,2,8,Operations,endpoint,SSO certificate warning shown on benefits portal.,SSO certificate warning shown on benefits portal. Reported by Adam from HR.,False,False
21,2024-01-02 22:38:33,2024-01-03 14:38:17.085755691,,P4,in_progress,email,3,6,HR,network,Scanner firmware update broke keyboard wedge mode.,Scanner firmware update broke keyboard wedge mode. Reported by Linda from Warehouse.,True,False
22,2024-01-03 01:22:15,2024-01-03 19:42:08.458742100,2024-01-04 14:34:28.675694922,P4,resolved,portal,2,5,Sales,endpoint,Scanner firmware update broke keyboard wedge mode.,Scanner firmware update broke keyboard wedge mode. Reported by Helen from Warehouse.,False,False
23,2024-01-03 02:48:31,2024-01-03 05:39:19.848588538,2024-01-04 11:15:05.979774226,P4,resolved,portal,4,6,Finance,saas,Warehouse RF gun drops Wi-Fi in aisle B.,Warehouse RF gun drops Wi-Fi in aisle B. Reported by Matthew from HR.,False,False
24,2024-01-03 03:32:59,2024-01-03 10:35:07.009411722,,P4,in_progress,email,7,9,Warehouse,security,VPN fails only for users in Phoenix office.,VPN fails only for users in Phoenix office. Reported by Eric from Operations.,False,False
25,2024-01-03 06:08:31,2024-01-03 21:14:49.748943121,2024-01-05 22:10:29.166937022,P4,resolved,chat,7,1,HR,security,Barcode labels printing with incorrect dimensions.,Barcode labels printing with incorrect dimensions. Reported by Susan from Operations.,False,False
26,2024-01-03 10:48:50,2024-01-03 18:40:05.864326748,2024-01-04 01:53:22.599177849,P3,resolved,phone,2,2,Operations,endpoint,ERP purchase order screen timing out for AP team.,ERP purchase order screen timing out for AP team. Reported by Matthew from Operations.,False,False
27,2024-01-03 12:16:11,2024-01-03 19:57:38.056113576,2024-01-04 10:12:47.606163621,P3,resolved,phone,5,5,IT,business-apps,Email quarantine released but message still missing.,Email quarantine released but message still missing. Reported by Christopher from Operations.,True,False
28,2024-01-03 12:58:52,2024-01-03 23:24:33.081273331,2024-01-05 02:53:08.488018907,P4,resolved,email,1,6,HR,identity,New Zebra printer not visible to shipping station.,New Zebra printer not visible to shipping station. Reported by Colin from Sales.,False,False
29,2024-01-03 13:05:08,2024-01-03 20:53:01.062529244,2024-01-03 20:32:44.190677823,P3,resolved,email,1,2,IT,identity,Label printer feeds blank stock after maintenance.,Label printer feeds blank stock after maintenance. Reported by Melanie from Finance.,False,False
30,2024-01-03 14:36:59,2024-01-04 06:36:14.970491715,2024-01-05 12:51:15.484855316,P4,resolved,email,6,7,IT,peripherals,Power BI refresh failing after service account rotation.,Power BI refresh failing after service account rotation. Reported by Cassandra from Sales.,False,False
31,2024-01-03 17:08:04,2024-01-03 23:20:21.273194009,2024-01-04 02:08:37.846136513,P3,resolved,chat,3,1,Warehouse,network,Single sign-on to HRIS returns invalid relay state.,Single sign-on to HRIS returns invalid relay state. Reported by Lindsay from Warehouse.,False,False
32,2024-01-03 17:44:59,2024-01-04 00:24:09.208906251,2024-01-04 15:07:09.771991385,P3,resolved,portal,6,3,Operations,peripherals,Email signatures disappeared for sales team.,Email signatures disappeared for sales team. Reported by Jessica from Operations.,False,False
33,2024-01-03 18:58:55,2024-01-03 20:46:51.172345428,2024-01-04 01:01:16.466380523,P3,resolved,chat,2,5,Sales,endpoint,Teams calls dropping audio after two minutes.,Teams calls dropping audio after two minutes. Reported by Amanda from Sales.,False,False
34,2024-01-03 20:19:32,2024-01-04 10:31:28.026846132,2024-01-05 09:24:14.300743257,P4,resolved,phone,1,1,Warehouse,identity,Conference room display shows no HDMI signal.,Conference room display shows no HDMI signal. Reported by Teresa from HR.,False,False
35,2024-01-03 20:40:18,2024-01-03 21:20:02.550125665,2024-01-03 21:59:02.202729679,P1,resolved,email,6,7,HR,peripherals,ERP purchase order screen timing out for AP team.,ERP purchase order screen timing out for AP team. Reported by Nicholas from Operations.,True,False
36,2024-01-03 20:46:51,2024-01-04 01:36:28.815108790,2024-01-04 19:44:11.774450851,P4,resolved,email,2,6,HR,endpoint,Intune enrollment stuck on compliance evaluation.,Intune enrollment stuck on compliance evaluation. Reported by Andrea from Finance.,False,False
37,2024-01-03 21:02:34,2024-01-03 22:26:55.266162344,2024-01-04 01:09:02.840491514,P2,closed,chat,1,6,Sales,identity,Excel add-in blocked by security policy.,Excel add-in blocked by security policy. Reported by Maria from Finance.,False,False
38,2024-01-04 02:43:25,2024-01-04 05:09:23.510258248,2024-01-04 22:21:42.575475564,P3,resolved,email,7,6,Operations,security,Single sign-on to HRIS returns invalid relay state.,Single sign-on to HRIS returns invalid relay state. Reported by Christine from Warehouse.,False,False
39,2024-01-04 04:32:32,2024-01-04 16:56:27.271038178,2024-01-06 19:04:29.584084959,P4,resolved,portal,6,7,IT,peripherals,User cannot map shared drive from new laptop.,User cannot map shared drive from new laptop. Reported by Michelle from Warehouse.,False,False
